epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,overfitting_gap,learning_rate,epoch_seconds
1,2.4563183365984167,2.427125735312515,0.2154255319148936,0.2546583850931677,0.18206744554272464,0.22594309631429144,-0.02919260128590162,0.0003,62.73863458633423
2,1.862413765268123,2.1724854833591056,0.4454787234042553,0.3695652173913043,0.4017217096850983,0.3401950129277003,0.31007171809098266,0.00029783510480423965,61.628053426742554
3,1.5516426601308457,2.1447642456670724,0.5472074468085106,0.3944099378881988,0.5091730310249398,0.3677636933075702,0.5931215855362266,0.0002914061984619919,61.71973705291748
4,1.312128744226821,2.093259469322536,0.6529255319148937,0.453416149068323,0.627812157788994,0.422686013030705,0.7811307250957151,0.0002809086200392825,64.9582109451294
5,1.1686197202256385,2.069504340983326,0.7160904255319149,0.45652173913043476,0.6971242840298381,0.43847358200592956,0.9008846207576873,0.0002666613331444543,63.72110891342163
6,1.0261471759765706,2.097996085326864,0.7712765957446809,0.468944099378882,0.7521735037784945,0.4458425300824185,1.0718489093502934,0.0002490972343803318,63.30800914764404
7,0.9444482897190337,2.0420226339968095,0.8257978723404256,0.5093167701863354,0.8186456346333444,0.4811150198589772,1.097574344277776,0.00022874999999999995,62.33149027824402
8,0.9122440466221343,1.9692755959789205,0.8218085106382979,0.4906832298136646,0.8171739338510681,0.46725170919928205,1.0570315493567861,0.00020623787042390777,63.44222402572632
9,0.8349666272072082,2.0349386997104433,0.8410904255319149,0.5124223602484472,0.8355428885461565,0.48942584061450145,1.1999720725032352,0.00018224486531753754,64.58938932418823
10,0.8052682702211623,2.064602007777054,0.8809840425531915,0.5,0.8804552615234289,0.4790481809798865,1.2593337375558917,0.00015749999999999998,62.77926707267761
11,0.7417993913305566,2.050272063438937,0.8956117021276596,0.5124223602484472,0.8912316496727437,0.4925773663395657,1.3084726721083801,0.00013275513468246242,65.29968214035034
12,0.7461864108100851,1.9702475233848051,0.9002659574468085,0.531055900621118,0.896967621254355,0.5203844001857276,1.22406111257472,0.00010876212957609225,62.8497474193573
13,0.7023247382108201,2.0096269468343038,0.9049202127659575,0.5217391304347826,0.9026453214899819,0.5042471944233607,1.3073022086234838,8.625000000000004e-05,65.45654702186584
14,0.6948063608179701,2.004094818364019,0.9168882978723404,0.5341614906832298,0.9128280592177155,0.5189201993265858,1.309288457546049,6.590276561966815e-05,64.86830639839172
15,0.7021946868997939,1.9796915824368875,0.9089095744680851,0.5248447204968945,0.9057579331277792,0.5132003392145734,1.2774968955370936,4.8338666855545654e-05,67.04238986968994
16,0.6900863168721504,1.9691493022515907,0.9142287234042553,0.5217391304347826,0.9136360557637528,0.5004229760859065,1.2790629853794404,3.409137996071752e-05,67.13762187957764
17,0.6790035043625121,1.975918215994509,0.9222074468085106,0.5341614906832298,0.9245702176245565,0.5147561387356147,1.296914711631997,2.3593801538008068e-05,64.41090226173401
18,0.6735565145599082,2.0070779664175853,0.9089095744680851,0.5341614906832298,0.906272095555697,0.5201544520062386,1.3335214518576772,1.7164895195760358e-05,63.768622159957886
SUMMARY,,,,,,,1.3335214518576772,,1152.0499439239502
BEST_EPOCH,,,,,,0.5203844001857276,,,12.0
